[2026-01-22 10:06:07,593: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 10:06:07,608: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 10:06:07,610: INFO: common: created directory at: artifacts]
[2026-01-22 10:06:07,613: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 10:06:07,615: INFO: 3277652497: Downloading data from https://drive.google.com/uc?export=download&id=1xHzaCHq6gEXFmYN2Cc2Yb1jVxaAayb2y&confirm=t into file artifacts/data_ingestion/data.zip]
[2026-01-22 10:06:09,816: INFO: 3277652497: Downloaded data successfully into file artifacts/data_ingestion/data.zip]
[2026-01-22 11:22:05,857: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 11:22:05,859: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 11:22:05,861: INFO: common: created directory at: artifacts]
[2026-01-22 11:22:05,863: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 11:22:05,863: INFO: 1989599501: Downloading data from : 1xHzaCHq6gEXFmYN2Cc2Yb1jVxaAayb2y]
[2026-01-22 11:22:08,214: INFO: 1989599501: Downloaded successfully into artifacts/data_ingestion/data.zip]
[2026-01-22 11:22:59,751: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 11:22:59,755: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 11:22:59,758: INFO: common: created directory at: artifacts]
[2026-01-22 11:22:59,759: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 11:22:59,760: INFO: 1989599501: Downloading data from : 1xHzaCHq6gEXFmYN2Cc2Yb1jVxaAayb2y]
[2026-01-22 11:23:02,312: INFO: 1989599501: Downloaded successfully into artifacts/data_ingestion/data.zip]
[2026-01-22 11:25:34,783: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 11:25:34,783: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 11:25:34,783: INFO: common: created directory at: artifacts]
[2026-01-22 11:25:34,783: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 11:25:34,783: INFO: 108848852: Downloading data from : 1xHzaCHq6gEXFmYN2Cc2Yb1jVxaAayb2y]
[2026-01-22 11:25:37,008: INFO: 108848852: Downloaded successfully into artifacts/data_ingestion/data.zip]
[2026-01-22 11:25:55,210: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 11:25:55,213: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 11:25:55,213: INFO: common: created directory at: artifacts]
[2026-01-22 11:25:55,213: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 11:25:55,213: INFO: 108848852: Downloading data from : 1xHzaCHq6gEXFmYN2Cc2Yb1jVxaAayb2y]
[2026-01-22 11:25:57,463: INFO: 108848852: Downloaded successfully into artifacts/data_ingestion/data.zip]
[2026-01-22 11:28:47,828: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 11:28:47,830: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 11:28:47,830: INFO: common: created directory at: artifacts]
[2026-01-22 11:28:47,832: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 11:28:47,832: INFO: 1020280437: Removed corrupted file : artifacts/data_ingestion/data.zip]
[2026-01-22 11:28:47,832: INFO: 1020280437: Downloading data from : 1xHzaCHq6gEXFmYN2Cc2Yb1jVxaAayb2y]
[2026-01-22 11:28:50,040: INFO: 1020280437: Downloaded successfully into artifacts/data_ingestion/data.zip]
[2026-01-22 11:30:05,340: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 11:30:05,342: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 11:30:05,342: INFO: common: created directory at: artifacts]
[2026-01-22 11:30:05,346: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 11:30:05,347: INFO: 1020280437: Removed corrupted file : artifacts/data_ingestion/data.zip]
[2026-01-22 11:30:05,348: INFO: 1020280437: Downloading data from : 1xHzaCHq6gEXFmYN2Cc2Yb1jVxaAayb2y]
[2026-01-22 11:30:07,452: INFO: 1020280437: Downloaded successfully into artifacts/data_ingestion/data.zip]
[2026-01-22 11:37:55,334: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 11:37:55,336: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 11:37:55,339: INFO: common: created directory at: artifacts]
[2026-01-22 11:37:55,340: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 11:39:43,543: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 11:39:43,544: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 11:39:43,550: INFO: common: created directory at: artifacts]
[2026-01-22 11:39:43,552: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-22 15:55:38,820: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 15:55:38,821: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 17:04:58,638: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:04:58,657: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:04:58,660: INFO: common: created directory at: artifacts]
[2026-01-22 17:04:58,662: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 17:33:53,350: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:33:53,356: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:33:53,358: INFO: common: created directory at: artifacts]
[2026-01-22 17:33:53,359: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 17:34:25,519: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:34:25,524: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:34:25,525: INFO: common: created directory at: artifacts]
[2026-01-22 17:34:25,528: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 17:34:53,540: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:34:53,542: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:34:53,546: INFO: common: created directory at: artifacts]
[2026-01-22 17:34:53,548: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 17:35:15,701: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:35:15,704: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:35:15,708: INFO: common: created directory at: artifacts]
[2026-01-22 17:35:15,709: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 17:40:33,373: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 17:40:33,374: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 17:40:38,408: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:40:38,413: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:40:38,414: INFO: common: created directory at: artifacts]
[2026-01-22 17:40:38,416: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 17:41:45,483: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 17:41:45,484: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 17:41:50,184: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:41:50,188: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:41:50,192: INFO: common: created directory at: artifacts]
[2026-01-22 17:41:50,194: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 17:47:11,175: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 17:47:11,176: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 17:47:15,964: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:47:15,971: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:47:15,975: INFO: common: created directory at: artifacts]
[2026-01-22 17:47:15,977: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 17:48:23,937: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 17:48:23,938: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 17:48:28,877: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:48:28,882: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:48:28,887: INFO: common: created directory at: artifacts]
[2026-01-22 17:48:28,889: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 17:49:15,166: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 17:49:15,167: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 17:49:19,749: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:49:19,751: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:49:19,753: INFO: common: created directory at: artifacts]
[2026-01-22 17:49:19,754: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 17:53:49,320: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 17:53:49,322: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 17:53:54,317: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:53:54,321: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:53:54,324: INFO: common: created directory at: artifacts]
[2026-01-22 17:53:54,325: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 17:55:51,590: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 17:55:51,591: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 17:55:56,011: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 17:55:56,016: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 17:55:56,018: INFO: common: created directory at: artifacts]
[2026-01-22 17:55:56,020: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 18:03:15,963: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 18:03:15,965: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 18:03:20,580: INFO: common: yaml file: config\config.yaml loaded successfully]
